Name,Weight,Id,Details,Price,Price per Kg,Promotion Discount,Promotion End Date,Image Url
Polpa di Pomodoro U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/9548,"1 conf 400g | 2,12 €/kg","0,85","2,12",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/9548/7AFA5077-3184-4104-95DB-DB142D56443B_1_MEDIUM.Jpg
Polpa di Pomodoro U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/9547,"1 conf 227g | 3,30 €/kg","0,75","3,30",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/9547/002EAE38-10CD-4CA4-A20B-E83FDE204F6B_1_MEDIUM.Jpg
Pelati U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/10149,"1 conf 480g | 2,68 €/kg","1,29","2,68",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/10149/7C79C46A-4C76-4C79-9BF7-5F8FA1355366_1_MEDIUM.Jpg
Pelati U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/10148,"1 conf 240g | 2,87 €/kg","0,69","2,87",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/10148/4D0771B5-D552-4222-B936-3F7588A59481_1_MEDIUM.Jpg
Pesto al Basilico U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/405321,"1 conf 190g | 8,36 €/kg","1,59","8,36",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/405321/79FD12E6-6371-4D58-8441-7F585F7AF7D2_1_MEDIUM.Jpg
Pesto al Basilico Senz'Aglio U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/26586,"1 conf 190g | 8,36 €/kg","1,59","8,36",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/26586/2DCFB5DB-97C8-4BDE-BA13-445C275591A1_1_MEDIUM.Jpg
Ragù U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/53750,"1 conf 360g | 5,52 €/kg","1,99","5,52",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/53750/607062CF-C41C-4A66-BFB4-5228201FAC94_1_MEDIUM.Jpg
Sugo al Ragù U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/14514,"1 conf 350g | 3,40 €/kg","1,19","3,40",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/14514/7493B780-C3EE-4CC3-A4B5-4331968DC51B_1_MEDIUM.Jpg
Sugo all'Arrabbiata U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/59246,"1 conf 350g | 3,40 €/kg","1,19","3,40",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/59246/ABBDA9ED-138E-4320-B411-8F92847CC043_1_MEDIUM.Jpg
Sugo alle Olive U! Confronta e Risparmia,,https://www.spesaonline.unes.it/p/14516,"1 conf 350g | 3,40 €/kg","1,19","3,40",,,https://unesretailprod.blob.core.windows.net/retail/SECCHI/SCATOLAME/14516/9BEB2BE6-43C5-4585-98B3-8950C950F6D9_1_MEDIUM.Jpg
